mode,charger_conflicts,charger_waiting_s,safety_revisit_violations,quality_revisit_violations,completed_services,charging_reassignments,mean_local_allocation_compute_s,consensus_window_s,communication_messages,minimum_soc
baseline,5,82.976,91,23,21,0,6.6e-05,8.0,98673,0.238
proposed,0,0,89,26,18,11,7e-05,8.0,99612,0.228
